"URL","HTTP_STATUS","FINAL_URL","INTERNAL_LINK_COUNT","CANONICAL","ROBOTS_META","H1_COUNT","PRELAUNCH_CURTAIN","SAFE_LINK_MASK"
"https://jungle.tibaldo.fr/plantes/hoya","200","https://jungle.tibaldo.fr/plantes/hoya","64","https://jungle.tibaldo.fr/plantes/hoya","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/sansevieria","200","https://jungle.tibaldo.fr/plantes/sansevieria","64","https://jungle.tibaldo.fr/plantes/sansevieria","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/fougeres","200","https://jungle.tibaldo.fr/plantes/fougeres","63","https://jungle.tibaldo.fr/plantes/fougeres","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/musa","200","https://jungle.tibaldo.fr/plantes/musa","66","https://jungle.tibaldo.fr/plantes/musa","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/ensete","200","https://jungle.tibaldo.fr/plantes/ensete","64","https://jungle.tibaldo.fr/plantes/ensete","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/alocasia","200","https://jungle.tibaldo.fr/plantes/alocasia","76","https://jungle.tibaldo.fr/plantes/alocasia","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/anthurium","200","https://jungle.tibaldo.fr/plantes/anthurium","77","https://jungle.tibaldo.fr/plantes/anthurium","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/monstera","200","https://jungle.tibaldo.fr/plantes/monstera","75","https://jungle.tibaldo.fr/plantes/monstera","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/philodendron","200","https://jungle.tibaldo.fr/plantes/philodendron","71","https://jungle.tibaldo.fr/plantes/philodendron","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/epipremnum","200","https://jungle.tibaldo.fr/plantes/epipremnum","64","https://jungle.tibaldo.fr/plantes/epipremnum","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
